1.000000    0.000000E+00
    9.808044E-01   -3.922082E-03
    9.609854E-01   -6.606380E-03
    9.411580E-01   -9.228018E-03
    9.213228E-01   -1.178980E-02
    9.014801E-01   -1.429361E-02
    8.816304E-01   -1.674109E-02
    8.617740E-01   -1.913363E-02
    8.419113E-01   -2.147235E-02
    8.220423E-01   -2.375815E-02
    8.021675E-01   -2.599162E-02
    7.822868E-01   -2.817310E-02
    7.624005E-01   -3.030265E-02
    7.425087E-01   -3.238003E-02
    7.226114E-01   -3.440472E-02
    7.027088E-01   -3.637590E-02
    6.828009E-01   -3.829243E-02
    6.628876E-01   -4.015286E-02
    6.429690E-01   -4.195540E-02
    6.230451E-01   -4.369792E-02
    6.031157E-01   -4.537726E-02
    5.831810E-01   -4.699189E-02
    5.632408E-01   -4.853793E-02
    5.432953E-01   -5.001171E-02
    5.233441E-01   -5.140914E-02
    5.033875E-01   -5.272564E-02
    4.834254E-01   -5.395617E-02
    4.634579E-01   -5.509513E-02
    4.434850E-01   -5.613634E-02
    4.235069E-01   -5.707299E-02
    4.035240E-01   -5.789756E-02
    3.835364E-01   -5.860175E-02
    3.635447E-01   -5.917638E-02
    3.435494E-01   -5.961126E-02
    3.235515E-01   -5.989505E-02
    3.035519E-01   -6.001504E-02
    2.835520E-01   -5.995693E-02
    2.635537E-01   -5.970379E-02
    2.435592E-01   -5.923835E-02
    2.235716E-01   -5.853840E-02
    2.035947E-01   -5.757856E-02
    1.836340E-01   -5.632849E-02
    1.636965E-01   -5.475111E-02
    1.437921E-01   -5.279988E-02
    1.239353E-01   -5.041458E-02
    1.041473E-01   -4.751325E-02
    8.446243E-02   -4.398164E-02
    6.494007E-02   -3.964323E-02
    4.569748E-02   -3.420208E-02
    2.701461E-02   -2.708675E-02
    9.843064E-03   -1.690970E-02
0.000000E+00    0.000000E+00
    9.843064E-03    1.690970E-02
    2.701461E-02    2.708675E-02
    4.569748E-02    3.420208E-02
    6.494007E-02    3.964323E-02
    8.446243E-02    4.398164E-02
    1.041473E-01    4.751325E-02
    1.239353E-01    5.041458E-02
    1.437921E-01    5.279988E-02
    1.636965E-01    5.475111E-02
    1.836340E-01    5.632849E-02
    2.035947E-01    5.757856E-02
    2.235716E-01    5.853840E-02
    2.435592E-01    5.923835E-02
    2.635537E-01    5.970379E-02
    2.835520E-01    5.995693E-02
    3.035519E-01    6.001504E-02
    3.235515E-01    5.989505E-02
    3.435494E-01    5.961126E-02
    3.635447E-01    5.917638E-02
    3.835364E-01    5.860175E-02
    4.035240E-01    5.789756E-02
    4.235069E-01    5.707299E-02
    4.434850E-01    5.613634E-02
    4.634579E-01    5.509513E-02
    4.834254E-01    5.395617E-02
    5.033875E-01    5.272564E-02
    5.233441E-01    5.140914E-02
    5.432953E-01    5.001171E-02
    5.632408E-01    4.853793E-02
    5.831810E-01    4.699189E-02
    6.031157E-01    4.537726E-02
    6.230451E-01    4.369792E-02
    6.429690E-01    4.195540E-02
    6.628876E-01    4.015286E-02
    6.828009E-01    3.829243E-02
    7.027088E-01    3.637590E-02
    7.226114E-01    3.440472E-02
    7.425087E-01    3.238003E-02
    7.624005E-01    3.030265E-02
    7.822868E-01    2.817310E-02
    8.021675E-01    2.599162E-02
    8.220423E-01    2.375815E-02
    8.419113E-01    2.147235E-02
    8.617740E-01    1.913363E-02
    8.816304E-01    1.674109E-02
    9.014801E-01    1.429361E-02
    9.213228E-01    1.178980E-02
    9.411580E-01    9.228018E-03
    9.609854E-01    6.606380E-03
    9.808044E-01    3.922082E-03
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91
91	92
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	1

